agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,6,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,2,51001090600,AE,0,37.7,-75.8,3,NA,8,1,0,10,1,1983-01-01T05:00:00Z,1996-01-23T05:00:00Z,NA,NA,NA,0,1,0,VA,82500,3500,1999,23417,1,613f48adf2b55a0837ecbb44
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,2,51001090600,A06,0,37.7,-75.8,4,NA,9,2,0,10,1,1996-04-20T04:00:00Z,1996-07-07T04:00:00Z,879.12,NA,NA,1,1,0,VA,187000,0,1999,23417,1,613f48adf2b55a0837ecbb4e
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2003-09-18T04:00:00Z,0,NA,NA,51001090800,AE,0,37.6,-75.7,0,NA,0,1,0,10,1,1972-05-01T04:00:00Z,1996-07-17T04:00:00Z,12599.39,1327.98,NA,0,1,0,VA,121000,30200,2003,23423,1,613f48adf2b55a0837ecbb59
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2009-11-13T05:00:00Z,0,NA,NA,51001090800,AE,0,37.6,-75.7,0,NA,0,1,0,10,1,1972-05-01T04:00:00Z,1996-07-17T04:00:00Z,3442.29,613.6,NA,0,1,0,VA,121000,30300,2009,23423,1,613f48adf2b55a0837ecbb5b
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,NA,51001090600,AE,0,37.7,-75.8,0,NA,0,2,0,50,1,1972-01-01T05:00:00Z,1996-11-01T05:00:00Z,1557.36,NA,NA,0,1,0,VA,65000,0,1999,23417,0,613f48adf2b55a0837ecbb62
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2011-08-30T04:00:00Z,1,NA,NA,51001090600,AE,0,37.7,-75.8,0,NA,0,2,0,50,1,1972-01-01T05:00:00Z,1996-11-01T05:00:00Z,5111.38,NA,NA,0,1,0,VA,96000,0,2011,23417,0,613f48adf2b55a0837ecbb64
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,NA,51001090600,AE,0,37.7,-75.8,0,NA,0,2,0,50,1,1972-01-01T05:00:00Z,1996-11-01T05:00:00Z,8356.81,NA,NA,0,1,0,VA,96000,0,2012,23417,0,613f48adf2b55a0837ecbb66
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,A06,0,37.8,-75.8,3,NA,0,1,0,10,1,1983-05-01T04:00:00Z,1997-10-15T04:00:00Z,4873.99,NA,NA,0,1,0,VA,88000,0,1999,23417,1,613f48adf2b55a0837ecbb97
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,2,51001090600,A06,0,37.8,-75.8,4,3.7,8.9,2,0,15,1,2020-02-02T05:00:00Z,1999-05-26T04:00:00Z,5457.38,NA,NA,0,1,0,VA,60000,0,1999,23417,1,613f48adf2b55a0837ecbbac
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,2,51001090600,A06,0,37.8,-75.8,4,3.7,8.9,2,0,15,1,2020-02-02T05:00:00Z,1999-05-26T04:00:00Z,28287.71,16225.04,30000,0,1,0,VA,75000,75000,2012,23417,1,613f48adf2b55a0837ecbbad
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,A06,0,37.7,-75.8,3,NA,0,1,0,10,1,1957-01-03T05:00:00Z,1998-10-02T04:00:00Z,22373.41,NA,NA,0,1,0,VA,100000,0,1999,23417,1,613f48adf2b55a0837ecbbba
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51131,NA,2003-09-18T04:00:00Z,0,NA,NA,51131930300,V11,0,37.3,-75.9,3,NA,0,1,0,10,1,2045-07-01T04:00:00Z,1998-11-05T05:00:00Z,34749.83,NA,30000,0,1,0,VA,97500,0,2003,23310,1,613f48adf2b55a0837ecbbbc
0,2021-07-25T01:39:04Z,7,2,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,3,51001090600,AE,0,37.7,-75.8,0,4.9,9.6,2,0,50,1,1999-11-01T05:00:00Z,1999-11-19T05:00:00Z,1885.99,NA,NA,1,1,0,VA,250000,0,2012,23417,1,613f48adf2b55a0837ecbbc4
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2010-02-02T05:00:00Z,1,NA,NA,51001090800,A09,0,37.7,-75.7,4,NA,0,2,0,10,1,2040-01-01T05:00:00Z,1999-12-01T05:00:00Z,NA,NA,NA,0,1,0,VA,50000,0,2010,23404,1,613f48adf2b55a0837ecbbc5
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,0,51001090600,AE,0,37.7,-75.8,0,4.2,7,1,0,10,1,1977-01-01T05:00:00Z,1997-11-05T05:00:00Z,5645.29,NA,NA,0,1,0,VA,70000,0,1999,23417,0,613f48adf2b55a0837ecbbce
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,NA,1999-09-16T04:00:00Z,1,NA,1,51001090300,A06,0,37.9,-75.7,3,4.6,8.4,1,0,50,1,1970-01-01T05:00:00Z,1996-11-03T05:00:00Z,9221.41,NA,NA,0,1,0,VA,68100,0,1999,23427,1,613f48adf2b55a0837ecbbee
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,2,51001090600,A06,0,37.7,-75.8,4,4.5,9.1,2,0,10,1,2001-05-01T04:00:00Z,1996-09-24T04:00:00Z,4229.07,NA,NA,1,1,0,VA,120000,0,1999,23417,1,613f48adf2b55a0837ecbbef
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,NA,51001090600,A06,0,37.7,-75.8,3,NA,0,1,0,10,1,1960-01-01T05:00:00Z,1998-08-07T04:00:00Z,3305.69,NA,NA,0,1,0,VA,50000,0,1999,23417,0,613f48adf2b55a0837ecbbfe
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,A06,0,37.7,-75.8,3,NA,0,1,0,10,1,1960-01-01T05:00:00Z,1998-08-07T04:00:00Z,NA,NA,NA,0,1,0,VA,20000,0,1999,23417,0,613f48adf2b55a0837ecbbff
0,2021-07-25T01:39:04Z,6,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,3,51001090600,AE,0,37.7,-75.8,0,4.3,8.7,2,0,10,1,2020-01-01T05:00:00Z,1999-02-04T05:00:00Z,1032.5,NA,NA,0,1,0,VA,135000,0,2012,23417,1,613f48adf2b55a0837ecbc03
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,NA,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.8,-76,0,NA,0,1,0,10,1,1965-07-01T04:00:00Z,1992-10-08T04:00:00Z,33506.18,NA,NA,0,1,0,VA,66100,0,1999,23440,1,613f48b8f2b55a0837ed611d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-15T04:00:00Z,0,NA,NA,51001090600,AE,0,37.7,-75.8,0,NA,0,1,0,10,1,1981-07-01T04:00:00Z,1992-09-07T04:00:00Z,3949.85,996.1,NA,0,1,0,VA,160900,21800,1999,23417,0,613f48b8f2b55a0837ed611f
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,NA,AE,0,37.7,-75.8,0,NA,0,1,0,10,1,1983-07-01T04:00:00Z,1992-09-01T04:00:00Z,2548.67,NA,NA,0,1,0,VA,30000,0,1999,23417,0,613f48b8f2b55a0837ed6121
